,type,source,title
684,Movie,imdb,Ninja Scroll
685,Movie,imdb,The Trial of the Chicago 7
686,Movie,imdb,Temple Grandin
687,Movie,imdb,Fantastic Mr. Fox
688,Movie,imdb,Red Shoes and the Seven Dwarfs
689,Movie,imdb,Holding the Man
690,Movie,imdb,Awakenings
691,Movie,imdb,"Batman: The Dark Knight Returns, Part 1"
692,Movie,imdb,Amour
693,Movie,imdb,Three Steps Above Heaven
694,Movie,imdb,The Turin Horse
695,Movie,imdb,Fiddler on the Roof
696,Movie,imdb,Rain Man
697,Movie,imdb,My Friends Act II
698,Movie,imdb,Geri's Game
699,Movie,imdb,Accattone
700,Movie,imdb,Cool Hand Luke
701,Movie,imdb,Sonic the Hedgehog 2
702,Movie,imdb,Kizumonogatari Part 1: Tekketsu
703,Movie,imdb,"I, Daniel Blake"
704,Movie,imdb,The Hustler
705,Movie,imdb,"Duck, You Sucker"
706,Movie,imdb,Stalag 17
707,Movie,imdb,Corpus Christi
708,Movie,imdb,Mother
709,Movie,imdb,Ricky Gervais: Humanity
710,Movie,imdb,Big Hero 6
711,Movie,imdb,The Blues Brothers
712,Movie,imdb,Underground
713,Movie,imdb,Die Hard
